Date,RBA Interest Rate,Inflation,,,
11/12/12,0.03,0.022
10/12/12,0.03,0.022
7/12/12,0.03,0.022
6/12/12,0.03,0.022
5/12/12,0.0325,0.022
4/12/12,0.0325,0.022
3/12/12,0.0325,0.022
30/11/12,0.0325,0.02
29/11/12,0.0325,0.02
28/11/12,0.0325,0.02
27/11/12,0.0325,0.02
26/11/12,0.0325,0.02
23/11/12,0.0325,0.02
22/11/12,0.0325,0.02
21/11/12,0.0325,0.02
20/11/12,0.0325,0.02
19/11/12,0.0325,0.02
16/11/12,0.0325,0.02
15/11/12,0.0325,0.02
14/11/12,0.0325,0.02
13/11/12,0.0325,0.02
12/11/12,0.0325,0.02
9/11/12,0.0325,0.02
8/11/12,0.0325,0.02
7/11/12,0.0325,0.02
6/11/12,0.0325,0.02
5/11/12,0.0325,0.02
2/11/12,0.0325,0.02
1/11/12,0.0325,0.02
31/10/12,0.0325,0.02
30/10/12,0.0325,0.02
29/10/12,0.0325,0.02
26/10/12,0.0325,0.02
25/10/12,0.0325,0.02
24/10/12,0.0325,0.02
23/10/12,0.0325,0.02
22/10/12,0.0325,0.02
19/10/12,0.0325,0.02
18/10/12,0.0325,0.02
17/10/12,0.0325,0.02
16/10/12,0.0325,0.02
15/10/12,0.0325,0.02
12/10/12,0.0325,0.02
11/10/12,0.0325,0.02
10/10/12,0.0325,0.02
9/10/12,0.0325,0.02
8/10/12,0.0325,0.02
5/10/12,0.0325,0.02
4/10/12,0.0325,0.02
3/10/12,0.0325,0.02
2/10/12,0.035,0.02
1/10/12,0.035,0.02
28/09/12,0.035,0.02
27/09/12,0.035,0.02
26/09/12,0.035,0.02
25/09/12,0.035,0.02
24/09/12,0.035,0.02
21/09/12,0.035,0.02
20/09/12,0.035,0.02
19/09/12,0.035,0.02
18/09/12,0.035,0.02
17/09/12,0.035,0.02
14/09/12,0.035,0.02
13/09/12,0.035,0.02
12/09/12,0.035,0.02
11/09/12,0.035,0.02
10/09/12,0.035,0.02
7/09/12,0.035,0.02
6/09/12,0.035,0.02
5/09/12,0.035,0.02
4/09/12,0.035,0.02
3/09/12,0.035,0.02
31/08/12,0.035,0.012
30/08/12,0.035,0.012
29/08/12,0.035,0.012
28/08/12,0.035,0.012
27/08/12,0.035,0.012
24/08/12,0.035,0.012
23/08/12,0.035,0.012
22/08/12,0.035,0.012
21/08/12,0.035,0.012
20/08/12,0.035,0.012
17/08/12,0.035,0.012
16/08/12,0.035,0.012
15/08/12,0.035,0.012
14/08/12,0.035,0.012
13/08/12,0.035,0.012
10/08/12,0.035,0.012
9/08/12,0.035,0.012
8/08/12,0.035,0.012
7/08/12,0.035,0.012
6/08/12,0.035,0.012
3/08/12,0.035,0.012
2/08/12,0.035,0.012
1/08/12,0.035,0.012
31/07/12,0.035,0.012
30/07/12,0.035,0.012
27/07/12,0.035,0.012
26/07/12,0.035,0.012
25/07/12,0.035,0.012
24/07/12,0.035,0.012
23/07/12,0.035,0.012
20/07/12,0.035,0.012
19/07/12,0.035,0.012
18/07/12,0.035,0.012
17/07/12,0.035,0.012
16/07/12,0.035,0.012
13/07/12,0.035,0.012
12/07/12,0.035,0.012
11/07/12,0.035,0.012
10/07/12,0.035,0.012
9/07/12,0.035,0.012
6/07/12,0.035,0.012
5/07/12,0.035,0.012
4/07/12,0.035,0.012
3/07/12,0.035,0.012
2/07/12,0.035,0.012
29/06/12,0.035,0.012
28/06/12,0.035,0.012
27/06/12,0.035,0.012
26/06/12,0.035,0.012
25/06/12,0.035,0.012
22/06/12,0.035,0.012
21/06/12,0.035,0.012
20/06/12,0.035,0.012
19/06/12,0.035,0.012
18/06/12,0.035,0.012
15/06/12,0.035,0.012
14/06/12,0.035,0.012
13/06/12,0.035,0.012
12/06/12,0.035,0.012
11/06/12,0.035,0.012
8/06/12,0.035,0.012
7/06/12,0.035,0.012
6/06/12,0.035,0.012
5/06/12,0.0375,0.012
4/06/12,0.0375,0.012
1/06/12,0.0375,0.012
31/05/12,0.0375,0.016
30/05/12,0.0375,0.016
29/05/12,0.0375,0.016
28/05/12,0.0375,0.016
25/05/12,0.0375,0.016
24/05/12,0.0375,0.016
23/05/12,0.0375,0.016
22/05/12,0.0375,0.016
21/05/12,0.0375,0.016
18/05/12,0.0375,0.016
17/05/12,0.0375,0.016
16/05/12,0.0375,0.016
15/05/12,0.0375,0.016
14/05/12,0.0375,0.016
11/05/12,0.0375,0.016
10/05/12,0.0375,0.016
9/05/12,0.0375,0.016
8/05/12,0.0375,0.016
7/05/12,0.0375,0.016
4/05/12,0.0375,0.016
3/05/12,0.0375,0.016
2/05/12,0.0375,0.016
1/05/12,0.0425,0.016
30/04/12,0.0425,0.016
27/04/12,0.0425,0.016
26/04/12,0.0425,0.016
25/04/12,0.0425,0.016
24/04/12,0.0425,0.016
23/04/12,0.0425,0.016
20/04/12,0.0425,0.016
19/04/12,0.0425,0.016
18/04/12,0.0425,0.016
17/04/12,0.0425,0.016
16/04/12,0.0425,0.016
13/04/12,0.0425,0.016
12/04/12,0.0425,0.016
11/04/12,0.0425,0.016
10/04/12,0.0425,0.016
9/04/12,0.0425,0.016
6/04/12,0.0425,0.016
5/04/12,0.0425,0.016
4/04/12,0.0425,0.016
3/04/12,0.0425,0.016
2/04/12,0.0425,0.016
30/03/12,0.0425,0.016
29/03/12,0.0425,0.016
28/03/12,0.0425,0.016
27/03/12,0.0425,0.016
26/03/12,0.0425,0.016
23/03/12,0.0425,0.016
22/03/12,0.0425,0.016
21/03/12,0.0425,0.016
20/03/12,0.0425,0.016
19/03/12,0.0425,0.016
16/03/12,0.0425,0.016
15/03/12,0.0425,0.016
14/03/12,0.0425,0.016
13/03/12,0.0425,0.016
12/03/12,0.0425,0.016
9/03/12,0.0425,0.016
8/03/12,0.0425,0.016
7/03/12,0.0425,0.016
6/03/12,0.0425,0.016
5/03/12,0.0425,0.016
2/03/12,0.0425,0.016
1/03/12,0.0425,0.016
29/02/12,0.0425,0.03
28/02/12,0.0425,0.03
27/02/12,0.0425,0.03
24/02/12,0.0425,0.03
23/02/12,0.0425,0.03
22/02/12,0.0425,0.03
21/02/12,0.0425,0.03
20/02/12,0.0425,0.03
17/02/12,0.0425,0.03
16/02/12,0.0425,0.03
15/02/12,0.0425,0.03
14/02/12,0.0425,0.03
13/02/12,0.0425,0.03
10/02/12,0.0425,0.03
9/02/12,0.0425,0.03
8/02/12,0.0425,0.03
7/02/12,0.0425,0.03
6/02/12,0.0425,0.03
3/02/12,0.0425,0.03
2/02/12,0.0425,0.03
1/02/12,0.0425,0.03
31/01/12,0.0425,0.03
30/01/12,0.0425,0.03
27/01/12,0.0425,0.03
26/01/12,0.0425,0.03
25/01/12,0.0425,0.03
24/01/12,0.0425,0.03
23/01/12,0.0425,0.03
20/01/12,0.0425,0.03
19/01/12,0.0425,0.03
18/01/12,0.0425,0.03
17/01/12,0.0425,0.03
16/01/12,0.0425,0.03
13/01/12,0.0425,0.03
12/01/12,0.0425,0.03
11/01/12,0.0425,0.03
10/01/12,0.0425,0.03
9/01/12,0.0425,0.03
6/01/12,0.0425,0.03
5/01/12,0.0425,0.03
4/01/12,0.0425,0.03
3/01/12,0.0425,0.03
2/01/12,0.0425,0.03
30/12/11,0.0425,0.03
29/12/11,0.0425,0.03
28/12/11,0.0425,0.03
27/12/11,0.0425,0.03
26/12/11,0.0425,0.03
23/12/11,0.0425,0.03
22/12/11,0.0425,0.03
21/12/11,0.0425,0.03
20/12/11,0.0425,0.03
19/12/11,0.0425,0.03
16/12/11,0.0425,0.03
15/12/11,0.0425,0.03
14/12/11,0.0425,0.03
13/12/11,0.0425,0.03
12/12/11,0.0425,0.03
9/12/11,0.0425,0.03
8/12/11,0.0425,0.03
7/12/11,0.0425,0.03
6/12/11,0.045,0.03
5/12/11,0.045,0.03
2/12/11,0.045,0.03
1/12/11,0.045,0.03
30/11/11,0.045,0.034
29/11/11,0.045,0.034
28/11/11,0.045,0.034
25/11/11,0.045,0.034
24/11/11,0.045,0.034
23/11/11,0.045,0.034
22/11/11,0.045,0.034
21/11/11,0.045,0.034
18/11/11,0.045,0.034
