Date,RBA Interest Rate,Inflation,,,
9/01/07,0.0625,0.033
8/01/07,0.0625,0.033
5/01/07,0.0625,0.033
4/01/07,0.0625,0.033
3/01/07,0.0625,0.033
2/01/07,0.0625,0.033
1/01/07,0.0625,0.033
29/12/06,0.0625,0.033
28/12/06,0.0625,0.033
27/12/06,0.0625,0.033
26/12/06,0.0625,0.033
25/12/06,0.0625,0.033
22/12/06,0.0625,0.033
21/12/06,0.0625,0.033
20/12/06,0.0625,0.033
19/12/06,0.0625,0.033
18/12/06,0.0625,0.033
15/12/06,0.0625,0.033
14/12/06,0.0625,0.033
13/12/06,0.0625,0.033
12/12/06,0.0625,0.033
11/12/06,0.0625,0.033
8/12/06,0.0625,0.033
7/12/06,0.0625,0.033
6/12/06,0.0625,0.033
5/12/06,0.0625,0.033
4/12/06,0.0625,0.033
1/12/06,0.0625,0.033
30/11/06,0.0625,0.04
29/11/06,0.0625,0.04
28/11/06,0.0625,0.04
27/11/06,0.0625,0.04
24/11/06,0.0625,0.04
23/11/06,0.0625,0.04
22/11/06,0.0625,0.04
21/11/06,0.0625,0.04
20/11/06,0.0625,0.04
17/11/06,0.0625,0.04
16/11/06,0.0625,0.04
15/11/06,0.0625,0.04
14/11/06,0.0625,0.04
13/11/06,0.0625,0.04
10/11/06,0.0625,0.04
9/11/06,0.0625,0.04
8/11/06,0.0625,0.04
7/11/06,0.06,0.04
6/11/06,0.06,0.04
3/11/06,0.06,0.04
2/11/06,0.06,0.04
1/11/06,0.06,0.04
31/10/06,0.06,0.04
30/10/06,0.06,0.04
27/10/06,0.06,0.04
26/10/06,0.06,0.04
25/10/06,0.06,0.04
24/10/06,0.06,0.04
23/10/06,0.06,0.04
20/10/06,0.06,0.04
19/10/06,0.06,0.04
18/10/06,0.06,0.04
17/10/06,0.06,0.04
16/10/06,0.06,0.04
13/10/06,0.06,0.04
12/10/06,0.06,0.04
11/10/06,0.06,0.04
10/10/06,0.06,0.04
9/10/06,0.06,0.04
6/10/06,0.06,0.04
5/10/06,0.06,0.04
4/10/06,0.06,0.04
3/10/06,0.06,0.04
2/10/06,0.06,0.04
29/09/06,0.06,0.04
28/09/06,0.06,0.04
27/09/06,0.06,0.04
26/09/06,0.06,0.04
25/09/06,0.06,0.04
22/09/06,0.06,0.04
21/09/06,0.06,0.04
20/09/06,0.06,0.04
19/09/06,0.06,0.04
18/09/06,0.06,0.04
15/09/06,0.06,0.04
14/09/06,0.06,0.04
13/09/06,0.06,0.04
12/09/06,0.06,0.04
11/09/06,0.06,0.04
8/09/06,0.06,0.04
7/09/06,0.06,0.04
6/09/06,0.06,0.04
5/09/06,0.06,0.04
4/09/06,0.06,0.04
1/09/06,0.06,0.04
31/08/06,0.06,0.04
30/08/06,0.06,0.04
29/08/06,0.06,0.04
28/08/06,0.06,0.04
25/08/06,0.06,0.04
24/08/06,0.06,0.04
23/08/06,0.06,0.04
22/08/06,0.06,0.04
21/08/06,0.06,0.04
18/08/06,0.06,0.04
17/08/06,0.06,0.04
16/08/06,0.06,0.04
15/08/06,0.06,0.04
14/08/06,0.06,0.04
11/08/06,0.06,0.04
10/08/06,0.06,0.04
9/08/06,0.06,0.04
8/08/06,0.06,0.04
7/08/06,0.06,0.04
4/08/06,0.06,0.04
3/08/06,0.06,0.04
2/08/06,0.06,0.04
1/08/06,0.0575,0.04
31/07/06,0.0575,0.04
28/07/06,0.0575,0.04
27/07/06,0.0575,0.04
26/07/06,0.0575,0.04
25/07/06,0.0575,0.04
24/07/06,0.0575,0.04
21/07/06,0.0575,0.04
20/07/06,0.0575,0.04
19/07/06,0.0575,0.04
18/07/06,0.0575,0.04
17/07/06,0.0575,0.04
14/07/06,0.0575,0.04
13/07/06,0.0575,0.04
12/07/06,0.0575,0.04
11/07/06,0.0575,0.04
10/07/06,0.0575,0.04
7/07/06,0.0575,0.04
6/07/06,0.0575,0.04
5/07/06,0.0575,0.04
4/07/06,0.0575,0.04
3/07/06,0.0575,0.04
30/06/06,0.0575,0.04
29/06/06,0.0575,0.04
28/06/06,0.0575,0.04
27/06/06,0.0575,0.04
26/06/06,0.0575,0.04
23/06/06,0.0575,0.04
22/06/06,0.0575,0.04
21/06/06,0.0575,0.04
20/06/06,0.0575,0.04
19/06/06,0.0575,0.04
16/06/06,0.0575,0.04
15/06/06,0.0575,0.04
14/06/06,0.0575,0.04
13/06/06,0.0575,0.04
12/06/06,0.0575,0.04
9/06/06,0.0575,0.04
8/06/06,0.0575,0.04
7/06/06,0.0575,0.04
6/06/06,0.0575,0.04
5/06/06,0.0575,0.04
2/06/06,0.0575,0.04
1/06/06,0.0575,0.04
31/05/06,0.0575,0.029
30/05/06,0.0575,0.029
29/05/06,0.0575,0.029
26/05/06,0.0575,0.029
25/05/06,0.0575,0.029
24/05/06,0.0575,0.029
23/05/06,0.0575,0.029
22/05/06,0.0575,0.029
19/05/06,0.0575,0.029
18/05/06,0.0575,0.029
17/05/06,0.0575,0.029
16/05/06,0.0575,0.029
15/05/06,0.0575,0.029
12/05/06,0.0575,0.029
11/05/06,0.0575,0.029
10/05/06,0.0575,0.029
9/05/06,0.0575,0.029
8/05/06,0.0575,0.029
5/05/06,0.0575,0.029
4/05/06,0.0575,0.029
3/05/06,0.0575,0.029
2/05/06,0.055,0.029
1/05/06,0.055,0.029
28/04/06,0.055,0.029
27/04/06,0.055,0.029
26/04/06,0.055,0.029
25/04/06,0.055,0.029
24/04/06,0.055,0.029
21/04/06,0.055,0.029
20/04/06,0.055,0.029
19/04/06,0.055,0.029
18/04/06,0.055,0.029
17/04/06,0.055,0.029
14/04/06,0.055,0.029
13/04/06,0.055,0.029
12/04/06,0.055,0.029
11/04/06,0.055,0.029
10/04/06,0.055,0.029
7/04/06,0.055,0.029
6/04/06,0.055,0.029
5/04/06,0.055,0.029
4/04/06,0.055,0.029
3/04/06,0.055,0.029
31/03/06,0.055,0.029
30/03/06,0.055,0.029
29/03/06,0.055,0.029
28/03/06,0.055,0.029
27/03/06,0.055,0.029
24/03/06,0.055,0.029
23/03/06,0.055,0.029
22/03/06,0.055,0.029
21/03/06,0.055,0.029
20/03/06,0.055,0.029
17/03/06,0.055,0.029
16/03/06,0.055,0.029
15/03/06,0.055,0.029
14/03/06,0.055,0.029
13/03/06,0.055,0.029
10/03/06,0.055,0.029
9/03/06,0.055,0.029
8/03/06,0.055,0.029
7/03/06,0.055,0.029
6/03/06,0.055,0.029
3/03/06,0.055,0.029
2/03/06,0.055,0.029
1/03/06,0.055,0.029
28/02/06,0.055,0.028
27/02/06,0.055,0.028
24/02/06,0.055,0.028
23/02/06,0.055,0.028
22/02/06,0.055,0.028
21/02/06,0.055,0.028
20/02/06,0.055,0.028
17/02/06,0.055,0.028
16/02/06,0.055,0.028
15/02/06,0.055,0.028
14/02/06,0.055,0.028
13/02/06,0.055,0.028
10/02/06,0.055,0.028
9/02/06,0.055,0.028
8/02/06,0.055,0.028
7/02/06,0.055,0.028
6/02/06,0.055,0.028
3/02/06,0.055,0.028
2/02/06,0.055,0.028
1/02/06,0.055,0.028
31/01/06,0.055,0.028
30/01/06,0.055,0.028
27/01/06,0.055,0.028
26/01/06,0.055,0.028
25/01/06,0.055,0.028
24/01/06,0.055,0.028
23/01/06,0.055,0.028
20/01/06,0.055,0.028
19/01/06,0.055,0.028
18/01/06,0.055,0.028
17/01/06,0.055,0.028
16/01/06,0.055,0.028
13/01/06,0.055,0.028
12/01/06,0.055,0.028
11/01/06,0.055,0.028
10/01/06,0.055,0.028
9/01/06,0.055,0.028
6/01/06,0.055,0.028
5/01/06,0.055,0.028
4/01/06,0.055,0.028
3/01/06,0.055,0.028
2/01/06,0.055,0.028
30/12/05,0.055,0.028
29/12/05,0.055,0.028
28/12/05,0.055,0.028
27/12/05,0.055,0.028
26/12/05,0.055,0.028
23/12/05,0.055,0.028
22/12/05,0.055,0.028
21/12/05,0.055,0.028
20/12/05,0.055,0.028
19/12/05,0.055,0.028
16/12/05,0.055,0.028
15/12/05,0.055,0.028
14/12/05,0.055,0.028
13/12/05,0.055,0.028
12/12/05,0.055,0.028
9/12/05,0.055,0.028
8/12/05,0.055,0.028
7/12/05,0.055,0.028
6/12/05,0.055,0.028
5/12/05,0.055,0.028
2/12/05,0.055,0.028
1/12/05,0.055,0.028
30/11/05,0.055,0.031
29/11/05,0.055,0.031
28/11/05,0.055,0.031
25/11/05,0.055,0.031
24/11/05,0.055,0.031
23/11/05,0.055,0.031
22/11/05,0.055,0.031
21/11/05,0.055,0.031
18/11/05,0.055,0.031
17/11/05,0.055,0.031
16/11/05,0.055,0.031
15/11/05,0.055,0.031
14/11/05,0.055,0.031
11/11/05,0.055,0.031
10/11/05,0.055,0.031
9/11/05,0.055,0.031
8/11/05,0.055,0.031
7/11/05,0.055,0.031
4/11/05,0.055,0.031
3/11/05,0.055,0.031
2/11/05,0.055,0.031
1/11/05,0.055,0.031
31/10/05,0.055,0.031
28/10/05,0.055,0.031
27/10/05,0.055,0.031
26/10/05,0.055,0.031
25/10/05,0.055,0.031
24/10/05,0.055,0.031
21/10/05,0.055,0.031
20/10/05,0.055,0.031
19/10/05,0.055,0.031
18/10/05,0.055,0.031
17/10/05,0.055,0.031
14/10/05,0.055,0.031
13/10/05,0.055,0.031
12/10/05,0.055,0.031
11/10/05,0.055,0.031
10/10/05,0.055,0.031
7/10/05,0.055,0.031
6/10/05,0.055,0.031
5/10/05,0.055,0.031
4/10/05,0.055,0.031
3/10/05,0.055,0.031
30/09/05,0.055,0.031
29/09/05,0.055,0.031
28/09/05,0.055,0.031
27/09/05,0.055,0.031
26/09/05,0.055,0.031
23/09/05,0.055,0.031
22/09/05,0.055,0.031
21/09/05,0.055,0.031
20/09/05,0.055,0.031
19/09/05,0.055,0.031
16/09/05,0.055,0.031
15/09/05,0.055,0.031
14/09/05,0.055,0.031
13/09/05,0.055,0.031
12/09/05,0.055,0.031
9/09/05,0.055,0.031
8/09/05,0.055,0.031
7/09/05,0.055,0.031
6/09/05,0.055,0.031
5/09/05,0.055,0.031
2/09/05,0.055,0.031
1/09/05,0.055,0.031
31/08/05,0.055,0.025
30/08/05,0.055,0.025
29/08/05,0.055,0.025
26/08/05,0.055,0.025
25/08/05,0.055,0.025
24/08/05,0.055,0.025
23/08/05,0.055,0.025
22/08/05,0.055,0.025
19/08/05,0.055,0.025
18/08/05,0.055,0.025
17/08/05,0.055,0.025
16/08/05,0.055,0.025
15/08/05,0.055,0.025
12/08/05,0.055,0.025
11/08/05,0.055,0.025
10/08/05,0.055,0.025
9/08/05,0.055,0.025
8/08/05,0.055,0.025
5/08/05,0.055,0.025
4/08/05,0.055,0.025
3/08/05,0.055,0.025
2/08/05,0.055,0.025
1/08/05,0.055,0.025
29/07/05,0.055,0.025
28/07/05,0.055,0.025
27/07/05,0.055,0.025
26/07/05,0.055,0.025
25/07/05,0.055,0.025
22/07/05,0.055,0.025
21/07/05,0.055,0.025
20/07/05,0.055,0.025
19/07/05,0.055,0.025
18/07/05,0.055,0.025
15/07/05,0.055,0.025
14/07/05,0.055,0.025
13/07/05,0.055,0.025
12/07/05,0.055,0.025
11/07/05,0.055,0.025
8/07/05,0.055,0.025
7/07/05,0.055,0.025
6/07/05,0.055,0.025
5/07/05,0.055,0.025
4/07/05,0.055,0.025
1/07/05,0.055,0.025
30/06/05,0.055,0.025
29/06/05,0.055,0.025
28/06/05,0.055,0.025
27/06/05,0.055,0.025
24/06/05,0.055,0.025
23/06/05,0.055,0.025
22/06/05,0.055,0.025
21/06/05,0.055,0.025
20/06/05,0.055,0.025
17/06/05,0.055,0.025
16/06/05,0.055,0.025
15/06/05,0.055,0.025
14/06/05,0.055,0.025
13/06/05,0.055,0.025
10/06/05,0.055,0.025
9/06/05,0.055,0.025
8/06/05,0.055,0.025
7/06/05,0.055,0.025
6/06/05,0.055,0.025
3/06/05,0.055,0.025
2/06/05,0.055,0.025
1/06/05,0.055,0.025
31/05/05,0.055,0.024
30/05/05,0.055,0.024
27/05/05,0.055,0.024
26/05/05,0.055,0.024
25/05/05,0.055,0.024
24/05/05,0.055,0.024
23/05/05,0.055,0.024
20/05/05,0.055,0.024
19/05/05,0.055,0.024
18/05/05,0.055,0.024
17/05/05,0.055,0.024
16/05/05,0.055,0.024
13/05/05,0.055,0.024
12/05/05,0.055,0.024
11/05/05,0.055,0.024
10/05/05,0.055,0.024
9/05/05,0.055,0.024
6/05/05,0.055,0.024
5/05/05,0.055,0.024
4/05/05,0.055,0.024
3/05/05,0.055,0.024
2/05/05,0.055,0.024
29/04/05,0.055,0.024
28/04/05,0.055,0.024
27/04/05,0.055,0.024
26/04/05,0.055,0.024
25/04/05,0.055,0.024
22/04/05,0.055,0.024
21/04/05,0.055,0.024
20/04/05,0.055,0.024
19/04/05,0.055,0.024
18/04/05,0.055,0.024
15/04/05,0.055,0.024
14/04/05,0.055,0.024
13/04/05,0.055,0.024
12/04/05,0.055,0.024
11/04/05,0.055,0.024
8/04/05,0.055,0.024
7/04/05,0.055,0.024
6/04/05,0.055,0.024
5/04/05,0.055,0.024
4/04/05,0.055,0.024
1/04/05,0.055,0.024
31/03/05,0.055,0.024
30/03/05,0.055,0.024
29/03/05,0.055,0.024
28/03/05,0.055,0.024
25/03/05,0.055,0.024
24/03/05,0.055,0.024
23/03/05,0.055,0.024
22/03/05,0.055,0.024
21/03/05,0.055,0.024
18/03/05,0.055,0.024
17/03/05,0.055,0.024
16/03/05,0.055,0.024
15/03/05,0.055,0.024
14/03/05,0.055,0.024
11/03/05,0.055,0.024
10/03/05,0.055,0.024
9/03/05,0.055,0.024
8/03/05,0.055,0.024
7/03/05,0.055,0.024
4/03/05,0.055,0.024
3/03/05,0.055,0.024
2/03/05,0.055,0.024
1/03/05,0.0525,0.024
28/02/05,0.0525,0.025
25/02/05,0.0525,0.025
24/02/05,0.0525,0.025
23/02/05,0.0525,0.025
22/02/05,0.0525,0.025
21/02/05,0.0525,0.025
18/02/05,0.0525,0.025
17/02/05,0.0525,0.025
16/02/05,0.0525,0.025
15/02/05,0.0525,0.025
14/02/05,0.0525,0.025
11/02/05,0.0525,0.025
10/02/05,0.0525,0.025
9/02/05,0.0525,0.025
8/02/05,0.0525,0.025
7/02/05,0.0525,0.025
4/02/05,0.0525,0.025
3/02/05,0.0525,0.025
2/02/05,0.0525,0.025
1/02/05,0.0525,0.025
31/01/05,0.0525,0.025
28/01/05,0.0525,0.025
27/01/05,0.0525,0.025
26/01/05,0.0525,0.025
25/01/05,0.0525,0.025
24/01/05,0.0525,0.025
21/01/05,0.0525,0.025
20/01/05,0.0525,0.025
19/01/05,0.0525,0.025
18/01/05,0.0525,0.025
17/01/05,0.0525,0.025
14/01/05,0.0525,0.025
13/01/05,0.0525,0.025
12/01/05,0.0525,0.025
11/01/05,0.0525,0.025
10/01/05,0.0525,0.025
7/01/05,0.0525,0.025
6/01/05,0.0525,0.025
5/01/05,0.0525,0.025
4/01/05,0.0525,0.025
3/01/05,0.0525,0.025
31/12/04,0.0525,0.025
30/12/04,0.0525,0.025
29/12/04,0.0525,0.025
28/12/04,0.0525,0.025
27/12/04,0.0525,0.025
24/12/04,0.0525,0.025
23/12/04,0.0525,0.025
22/12/04,0.0525,0.025
21/12/04,0.0525,0.025
20/12/04,0.0525,0.025
17/12/04,0.0525,0.025
16/12/04,0.0525,0.025
15/12/04,0.0525,0.025
14/12/04,0.0525,0.025
13/12/04,0.0525,0.025
10/12/04,0.0525,0.025
9/12/04,0.0525,0.025
8/12/04,0.0525,0.025
7/12/04,0.0525,0.025
6/12/04,0.0525,0.025
3/12/04,0.0525,0.025
2/12/04,0.0525,0.025
1/12/04,0.0525,0.025
30/11/04,0.0525,0.023
29/11/04,0.0525,0.023
26/11/04,0.0525,0.023
25/11/04,0.0525,0.023
24/11/04,0.0525,0.023
23/11/04,0.0525,0.023
22/11/04,0.0525,0.023
19/11/04,0.0525,0.023
18/11/04,0.0525,0.023
17/11/04,0.0525,0.023
16/11/04,0.0525,0.023
15/11/04,0.0525,0.023
12/11/04,0.0525,0.023
11/11/04,0.0525,0.023
10/11/04,0.0525,0.023
9/11/04,0.0525,0.023
8/11/04,0.0525,0.023
5/11/04,0.0525,0.023
4/11/04,0.0525,0.023
3/11/04,0.0525,0.023
2/11/04,0.0525,0.023
1/11/04,0.0525,0.023
29/10/04,0.0525,0.023
28/10/04,0.0525,0.023
27/10/04,0.0525,0.023
26/10/04,0.0525,0.023
25/10/04,0.0525,0.023
22/10/04,0.0525,0.023
21/10/04,0.0525,0.023
20/10/04,0.0525,0.023
19/10/04,0.0525,0.023
18/10/04,0.0525,0.023
15/10/04,0.0525,0.023
14/10/04,0.0525,0.023
13/10/04,0.0525,0.023
12/10/04,0.0525,0.023
11/10/04,0.0525,0.023
8/10/04,0.0525,0.023
7/10/04,0.0525,0.023
6/10/04,0.0525,0.023
5/10/04,0.0525,0.023
4/10/04,0.0525,0.023
1/10/04,0.0525,0.023
30/09/04,0.0525,0.023
29/09/04,0.0525,0.023
28/09/04,0.0525,0.023
27/09/04,0.0525,0.023
24/09/04,0.0525,0.023
23/09/04,0.0525,0.023
22/09/04,0.0525,0.023
21/09/04,0.0525,0.023
20/09/04,0.0525,0.023
17/09/04,0.0525,0.023
16/09/04,0.0525,0.023
15/09/04,0.0525,0.023
14/09/04,0.0525,0.023
13/09/04,0.0525,0.023
10/09/04,0.0525,0.023
9/09/04,0.0525,0.023
8/09/04,0.0525,0.023
7/09/04,0.0525,0.023
6/09/04,0.0525,0.023
3/09/04,0.0525,0.023
2/09/04,0.0525,0.023
1/09/04,0.0525,0.023
31/08/04,0.0525,0.025
30/08/04,0.0525,0.025
27/08/04,0.0525,0.025
26/08/04,0.0525,0.025
25/08/04,0.0525,0.025
24/08/04,0.0525,0.025
23/08/04,0.0525,0.025
20/08/04,0.0525,0.025
19/08/04,0.0525,0.025
18/08/04,0.0525,0.025
17/08/04,0.0525,0.025
16/08/04,0.0525,0.025
13/08/04,0.0525,0.025
12/08/04,0.0525,0.025
11/08/04,0.0525,0.025
10/08/04,0.0525,0.025
9/08/04,0.0525,0.025
6/08/04,0.0525,0.025
5/08/04,0.0525,0.025
4/08/04,0.0525,0.025
3/08/04,0.0525,0.025
2/08/04,0.0525,0.025
30/07/04,0.0525,0.025
29/07/04,0.0525,0.025
28/07/04,0.0525,0.025
27/07/04,0.0525,0.025
26/07/04,0.0525,0.025
23/07/04,0.0525,0.025
22/07/04,0.0525,0.025
21/07/04,0.0525,0.025
20/07/04,,0.025
19/07/04,,0.025
16/07/04,,0.025
15/07/04,,0.025
14/07/04,,0.025
13/07/04,,0.025
12/07/04,,0.025
9/07/04,,0.025
8/07/04,,0.025
7/07/04,,0.025
6/07/04,,0.025
5/07/04,,0.025
2/07/04,,0.025
1/07/04,,0.025
30/06/04,,
29/06/04,,
28/06/04,,
25/06/04,,
24/06/04,,
23/06/04,,
22/06/04,,
21/06/04
18/06/04
17/06/04
16/06/04
15/06/04
14/06/04
11/06/04
10/06/04
9/06/04
8/06/04
7/06/04
4/06/04
3/06/04
2/06/04
1/06/04
31/05/04
28/05/04
27/05/04
26/05/04
25/05/04
24/05/04
21/05/04
20/05/04
19/05/04
18/05/04
17/05/04
14/05/04
13/05/04
12/05/04
11/05/04
10/05/04
7/05/04
6/05/04
5/05/04
4/05/04
3/05/04
30/04/04
29/04/04
28/04/04
27/04/04
26/04/04
23/04/04
22/04/04
21/04/04
20/04/04
19/04/04
16/04/04
15/04/04
14/04/04
13/04/04
12/04/04
9/04/04
8/04/04
7/04/04
6/04/04
5/04/04
2/04/04
1/04/04
31/03/04
30/03/04
29/03/04
26/03/04
25/03/04
24/03/04
23/03/04
22/03/04
19/03/04
18/03/04
17/03/04
16/03/04
15/03/04
12/03/04
11/03/04
10/03/04
9/03/04
8/03/04
5/03/04
4/03/04
3/03/04
2/03/04
1/03/04
27/02/04
26/02/04
25/02/04
24/02/04
23/02/04
20/02/04
19/02/04
18/02/04
17/02/04
16/02/04
13/02/04
12/02/04
11/02/04
10/02/04
9/02/04
6/02/04
5/02/04
4/02/04
3/02/04
2/02/04
30/01/04
29/01/04
28/01/04
27/01/04
26/01/04
23/01/04
22/01/04
21/01/04
20/01/04
19/01/04
16/01/04
15/01/04
14/01/04
13/01/04
12/01/04
9/01/04
8/01/04
7/01/04
6/01/04
5/01/04
2/01/04
1/01/04
31/12/03
30/12/03
29/12/03
26/12/03
25/12/03
24/12/03
23/12/03
22/12/03
19/12/03
18/12/03
17/12/03
16/12/03
15/12/03
12/12/03
11/12/03
10/12/03
9/12/03
8/12/03
5/12/03
4/12/03
3/12/03
2/12/03
1/12/03
28/11/03
27/11/03
26/11/03
25/11/03
24/11/03
21/11/03
20/11/03
19/11/03
18/11/03
17/11/03
14/11/03
13/11/03
12/11/03
11/11/03
10/11/03
7/11/03
6/11/03
5/11/03
4/11/03
3/11/03
31/10/03
30/10/03
29/10/03
28/10/03
27/10/03
24/10/03
23/10/03
22/10/03
21/10/03
20/10/03
17/10/03
16/10/03
15/10/03
14/10/03
13/10/03
10/10/03
9/10/03
8/10/03
7/10/03
6/10/03
3/10/03
2/10/03
1/10/03
30/09/03
29/09/03
26/09/03
25/09/03
24/09/03
23/09/03
22/09/03
19/09/03
18/09/03
17/09/03
16/09/03
15/09/03
12/09/03
11/09/03
10/09/03
9/09/03
8/09/03
5/09/03
4/09/03
3/09/03
2/09/03
1/09/03
29/08/03
28/08/03
27/08/03
26/08/03
25/08/03
22/08/03
21/08/03
20/08/03
19/08/03
18/08/03
15/08/03
14/08/03
13/08/03
12/08/03
11/08/03
8/08/03
7/08/03
6/08/03
5/08/03
4/08/03
1/08/03
31/07/03
30/07/03
29/07/03
28/07/03
25/07/03
24/07/03
23/07/03
22/07/03
21/07/03
18/07/03
17/07/03
16/07/03
15/07/03
14/07/03
11/07/03
10/07/03
9/07/03
8/07/03
7/07/03
4/07/03
3/07/03
2/07/03
1/07/03
30/06/03
27/06/03
26/06/03
25/06/03
24/06/03
23/06/03
20/06/03
19/06/03
18/06/03
17/06/03
16/06/03
13/06/03
12/06/03
11/06/03
10/06/03
9/06/03
6/06/03
5/06/03
4/06/03
3/06/03
2/06/03
30/05/03
29/05/03
28/05/03
27/05/03
26/05/03
23/05/03
22/05/03
21/05/03
20/05/03
19/05/03
16/05/03
15/05/03
14/05/03
13/05/03
12/05/03
9/05/03
8/05/03
7/05/03
6/05/03
5/05/03
2/05/03
1/05/03
30/04/03
29/04/03
28/04/03
25/04/03
24/04/03
23/04/03
22/04/03
21/04/03
18/04/03
17/04/03
16/04/03
15/04/03
14/04/03
11/04/03
10/04/03
9/04/03
8/04/03
7/04/03
4/04/03
3/04/03
2/04/03
1/04/03
31/03/03
28/03/03
27/03/03
26/03/03
25/03/03
24/03/03
21/03/03
20/03/03
19/03/03
18/03/03
17/03/03
14/03/03
13/03/03
12/03/03
11/03/03
10/03/03
7/03/03
6/03/03
5/03/03
4/03/03
3/03/03
28/02/03
27/02/03
26/02/03
25/02/03
24/02/03
21/02/03
20/02/03
19/02/03
18/02/03
17/02/03
14/02/03
13/02/03
12/02/03
11/02/03
10/02/03
7/02/03
6/02/03
5/02/03
4/02/03
3/02/03
31/01/03
30/01/03
29/01/03
28/01/03
27/01/03
24/01/03
23/01/03
22/01/03
21/01/03
20/01/03
17/01/03
16/01/03
15/01/03
14/01/03
13/01/03
10/01/03
9/01/03
8/01/03
7/01/03
6/01/03
3/01/03
2/01/03
1/01/03
31/12/02
30/12/02
27/12/02
26/12/02
25/12/02
24/12/02
23/12/02
20/12/02
19/12/02
18/12/02
17/12/02
16/12/02
13/12/02
12/12/02
11/12/02
10/12/02
9/12/02
6/12/02
5/12/02
4/12/02
3/12/02
2/12/02
29/11/02
28/11/02
27/11/02
26/11/02
25/11/02
22/11/02
21/11/02
20/11/02
19/11/02
18/11/02
15/11/02
14/11/02
13/11/02
12/11/02
11/11/02
8/11/02
7/11/02
6/11/02
5/11/02
4/11/02
1/11/02
31/10/02
30/10/02
29/10/02
28/10/02
25/10/02
24/10/02
23/10/02
22/10/02
21/10/02
18/10/02
17/10/02
16/10/02
15/10/02
14/10/02
11/10/02
10/10/02
9/10/02
8/10/02
7/10/02
4/10/02
3/10/02
2/10/02
1/10/02
30/09/02
27/09/02
26/09/02
25/09/02
24/09/02
23/09/02
20/09/02
19/09/02
18/09/02
17/09/02
16/09/02
13/09/02
12/09/02
11/09/02
10/09/02
9/09/02
6/09/02
5/09/02
4/09/02
3/09/02
2/09/02
30/08/02
29/08/02
28/08/02
27/08/02
26/08/02
23/08/02
22/08/02
21/08/02
20/08/02
19/08/02
16/08/02
15/08/02
14/08/02
13/08/02
12/08/02
9/08/02
8/08/02
7/08/02
6/08/02
5/08/02
2/08/02
1/08/02
31/07/02
30/07/02
29/07/02
26/07/02
25/07/02
24/07/02
23/07/02
22/07/02
19/07/02
18/07/02
17/07/02
16/07/02
15/07/02
12/07/02
11/07/02
10/07/02
9/07/02
8/07/02
5/07/02
4/07/02
3/07/02
2/07/02
1/07/02
28/06/02
27/06/02
26/06/02
25/06/02
24/06/02
21/06/02
20/06/02
19/06/02
18/06/02
17/06/02
14/06/02
13/06/02
12/06/02
11/06/02
10/06/02
7/06/02
6/06/02
5/06/02
4/06/02
3/06/02
31/05/02
30/05/02
29/05/02
28/05/02
27/05/02
24/05/02
23/05/02
22/05/02
21/05/02
20/05/02
17/05/02
16/05/02
15/05/02
14/05/02
13/05/02
10/05/02
9/05/02
8/05/02
7/05/02
6/05/02
3/05/02
2/05/02
1/05/02
30/04/02
29/04/02
26/04/02
25/04/02
24/04/02
23/04/02
22/04/02
19/04/02
18/04/02
17/04/02
16/04/02
15/04/02
12/04/02
11/04/02
10/04/02
9/04/02
8/04/02
5/04/02
4/04/02
3/04/02
2/04/02
1/04/02
29/03/02
28/03/02
27/03/02
26/03/02
25/03/02
22/03/02
21/03/02
20/03/02
19/03/02
18/03/02
15/03/02
14/03/02
13/03/02
12/03/02
11/03/02
8/03/02
7/03/02
6/03/02
5/03/02
4/03/02
1/03/02
28/02/02
27/02/02
26/02/02
25/02/02
22/02/02
21/02/02
20/02/02
19/02/02
18/02/02
15/02/02
14/02/02
13/02/02
12/02/02
11/02/02
8/02/02
7/02/02
6/02/02
5/02/02
4/02/02
1/02/02
31/01/02
30/01/02
29/01/02
28/01/02
25/01/02
24/01/02
23/01/02
22/01/02
21/01/02
18/01/02
17/01/02
16/01/02
15/01/02
14/01/02
11/01/02
10/01/02
9/01/02
8/01/02
7/01/02
4/01/02
3/01/02
2/01/02
1/01/02
31/12/01
28/12/01
27/12/01
26/12/01
25/12/01
24/12/01
21/12/01
20/12/01
19/12/01
18/12/01
17/12/01
14/12/01
13/12/01
12/12/01
11/12/01
10/12/01
7/12/01
6/12/01
5/12/01
4/12/01
3/12/01
30/11/01
29/11/01
28/11/01
27/11/01
26/11/01
23/11/01
22/11/01
21/11/01
20/11/01
19/11/01
16/11/01
15/11/01
14/11/01
13/11/01
12/11/01
9/11/01
8/11/01
7/11/01
6/11/01
5/11/01
2/11/01
1/11/01
31/10/01
30/10/01
29/10/01
26/10/01
25/10/01
24/10/01
23/10/01
22/10/01
19/10/01
18/10/01
17/10/01
16/10/01
15/10/01
12/10/01
11/10/01
10/10/01
9/10/01
8/10/01
5/10/01
4/10/01
3/10/01
2/10/01
1/10/01
28/09/01
27/09/01
26/09/01
25/09/01
24/09/01
21/09/01
20/09/01
19/09/01
18/09/01
17/09/01
14/09/01
13/09/01
12/09/01
11/09/01
10/09/01
7/09/01
6/09/01
5/09/01
4/09/01
3/09/01
31/08/01
30/08/01
29/08/01
28/08/01
27/08/01
24/08/01
23/08/01
22/08/01
21/08/01
20/08/01
17/08/01
16/08/01
15/08/01
