Date,Open,High,Low,Close,Volume,Adj Close
2013-11-12,8.50,8.50,8.42,8.45,1700,8.45
2013-11-11,8.50,8.50,8.50,8.50,2100,8.50
2013-11-08,8.35,8.50,8.35,8.50,12900,8.50
2013-11-07,8.41,8.46,8.41,8.42,32000,8.42
2013-11-06,8.41,8.41,8.41,8.41,2300,8.41
2013-11-05,8.49,8.49,8.30,8.45,2000,8.45
2013-11-04,8.35,8.50,8.35,8.50,600,8.50
2013-11-01,8.50,8.50,8.40,8.50,5000,8.50
2013-10-31,8.78,8.80,8.45,8.46,28300,8.46
2013-10-30,8.60,8.80,8.60,8.78,1800,8.78
2013-10-29,8.88,8.88,8.84,8.84,000,8.84
2013-10-28,8.45,8.90,8.45,8.90,5600,8.90
2013-10-25,8.54,8.58,8.45,8.58,9300,8.58
2013-10-24,8.54,8.54,8.52,8.54,600,8.54
2013-10-23,8.50,8.54,8.49,8.54,9900,8.54
2013-10-22,8.50,8.50,8.50,8.50,000,8.50
2013-10-21,8.55,8.60,8.50,8.50,3500,8.50
2013-10-18,8.40,8.50,8.40,8.50,5000,8.50
2013-10-17,8.10,8.50,8.10,8.50,23500,8.50
2013-10-16,8.10,8.20,7.99,8.10,14300,8.10
2013-10-15,8.00,8.20,8.00,8.10,26400,8.10
2013-10-14,7.95,8.00,7.90,8.00,4000,8.00
2013-10-11,8.00,8.00,7.90,8.00,26900,8.00
2013-10-10,8.05,8.05,7.99,7.99,4500,7.99
2013-10-09,8.05,8.10,8.00,8.00,19300,8.00
2013-10-08,8.01,8.05,8.00,8.05,3000,8.05
2013-10-07,7.90,7.90,7.90,7.90,000,7.90
2013-10-04,8.00,8.00,7.90,7.90,10400,7.90
2013-10-03,8.20,8.20,8.00,8.01,1900,8.01
2013-10-02,7.95,8.00,7.95,8.00,11300,8.00
2013-10-01,7.95,7.95,7.95,7.95,62300,7.95
2013-09-30,7.99,7.99,7.90,7.95,5800,7.95
2013-09-27,7.75,7.99,7.75,7.99,54500,7.99
2013-09-26,7.70,7.70,7.56,7.70,14200,7.70
2013-09-25,7.65,7.65,7.56,7.56,3900,7.56
2013-09-24,7.71,7.71,7.70,7.70,7800,7.70
2013-09-23,7.70,7.70,7.70,7.70,4100,7.70
2013-09-20,7.70,7.80,7.70,7.70,4000,7.70
2013-09-19,7.60,7.80,7.60,7.70,7900,7.70
2013-09-18,7.65,7.70,7.50,7.60,31200,7.60
2013-09-17,7.55,7.65,7.55,7.65,19600,7.65
2013-09-16,7.65,7.65,7.50,7.56,4300,7.56
2013-09-13,7.60,7.60,7.60,7.60,6900,7.60
2013-09-12,7.50,7.60,7.50,7.60,31600,7.60
2013-09-11,7.36,7.61,7.36,7.60,26000,7.60
2013-09-10,7.38,7.38,7.30,7.36,102300,7.36
2013-09-09,7.70,7.70,7.40,7.40,15400,7.40
2013-09-06,7.70,7.70,7.70,7.70,000,7.70
2013-09-05,7.70,7.70,7.70,7.70,000,7.58
2013-09-04,7.50,7.70,7.49,7.70,1800,7.58
2013-09-03,7.70,7.70,7.70,7.70,1000,7.58
2013-09-02,7.49,7.70,7.49,7.70,2200,7.58
2013-08-30,7.49,7.50,7.49,7.50,500,7.38
2013-08-29,7.40,7.40,7.40,7.40,700,7.28
2013-08-28,7.40,7.40,7.40,7.40,000,7.28
2013-08-27,7.38,7.52,7.38,7.40,113300,7.28
2013-08-26,7.45,7.45,7.38,7.38,98800,7.26
2013-08-23,7.57,7.60,7.36,7.43,78200,7.31
2013-08-22,8.06,8.06,7.75,7.75,270500,7.63
2013-08-21,8.10,8.10,8.10,8.10,600,7.97
2013-08-20,8.10,8.11,8.09,8.11,7500,7.98
2013-08-19,8.10,8.10,8.10,8.10,2100,7.97
2013-08-16,8.10,8.10,8.10,8.10,000,7.97
2013-08-15,8.04,8.10,8.04,8.10,9100,7.97
2013-08-14,8.00,8.00,7.96,7.98,3200,7.86
2013-08-13,8.00,8.00,8.00,8.00,000,7.88
2013-08-12,8.00,8.00,8.00,8.00,000,7.88
2013-08-09,7.95,8.00,7.95,8.00,5500,7.88
2013-08-08,8.00,8.00,7.95,7.95,4100,7.83
2013-08-07,8.00,8.00,7.99,8.00,6200,7.88
2013-08-06,8.05,8.05,7.99,8.00,5300,7.88
2013-08-05,8.10,8.10,8.10,8.10,000,7.97
2013-08-02,8.10,8.10,8.10,8.10,5100,7.97
2013-08-01,8.00,8.00,8.00,8.00,200,7.88
2013-07-31,8.20,8.20,8.00,8.00,1900,7.88
2013-07-30,8.12,8.12,8.12,8.12,000,7.99
2013-07-29,8.15,8.15,8.12,8.12,1400,7.99
2013-07-26,8.15,8.15,8.12,8.15,3400,8.02
2013-07-25,8.43,8.43,8.00,8.00,9600,7.88
2013-07-24,8.55,8.55,8.43,8.43,3100,8.30
2013-07-23,8.68,8.68,8.57,8.57,2100,8.44
2013-07-22,8.90,8.90,8.57,8.57,1700,8.44
2013-07-19,8.71,8.71,8.70,8.70,4800,8.56
2013-07-18,8.60,8.71,8.60,8.71,2400,8.57
2013-07-17,8.50,8.50,8.50,8.50,000,8.37
2013-07-16,8.41,8.50,8.41,8.50,100,8.37
2013-07-15,8.50,8.50,8.41,8.45,15500,8.32
2013-07-12,8.36,8.50,8.29,8.50,3400,8.37
2013-07-11,8.50,8.58,8.35,8.46,13400,8.33
2013-07-10,8.58,8.58,8.47,8.50,1400,8.37
2013-07-09,8.47,8.47,8.47,8.47,5000,8.34
2013-07-08,8.45,8.58,8.44,8.58,15000,8.45
2013-07-05,8.15,8.30,8.15,8.30,4400,8.17
2013-07-04,8.00,8.15,8.00,8.15,9700,8.02
2013-07-03,8.00,8.00,8.00,8.00,000,7.88
2013-07-02,8.10,8.10,8.00,8.00,8700,7.88
2013-07-01,8.00,8.10,8.00,8.10,6500,7.97
2013-06-28,7.85,8.00,7.85,7.91,6000,7.79
2013-06-27,7.55,7.60,7.55,7.60,11500,7.48
2013-06-26,7.40,7.50,7.31,7.32,152700,7.21
2013-06-25,7.30,7.50,7.30,7.50,600,7.38
2013-06-24,7.31,7.50,7.30,7.50,8800,7.38
2013-06-21,7.51,7.70,7.40,7.47,20200,7.35
2013-06-20,7.67,7.70,7.63,7.63,7600,7.51
2013-06-19,7.85,7.85,7.70,7.70,38100,7.58
2013-06-18,8.09,8.09,7.70,7.70,36100,7.58
2013-06-17,8.50,8.50,8.50,8.50,4900,8.37
2013-06-14,8.60,8.60,8.60,8.60,50600,8.47
2013-06-13,8.20,8.30,8.20,8.25,4200,8.12
2013-06-12,8.20,8.20,8.20,8.20,1000,8.07
2013-06-11,8.43,8.43,8.03,8.20,25600,8.07
2013-06-10,8.45,8.45,8.45,8.45,000,8.32
2013-06-07,8.45,8.45,8.45,8.45,7600,8.32
2013-06-06,8.60,8.60,8.52,8.52,2500,8.39
2013-06-05,8.60,8.60,8.60,8.60,2800,8.47
2013-06-04,8.50,8.60,8.50,8.60,3500,8.47
2013-06-03,8.50,8.50,8.50,8.50,6900,8.37
2013-05-31,8.45,8.54,8.45,8.50,53500,8.37
2013-05-30,8.54,8.54,8.45,8.45,3900,8.32
2013-05-29,8.54,8.54,8.45,8.45,52100,8.32
2013-05-28,8.54,8.60,8.53,8.60,125000,8.47
2013-05-27,8.50,8.50,8.37,8.50,20800,8.37
2013-05-24,8.90,8.90,8.50,8.50,21000,8.37
2013-05-23,8.95,8.95,8.55,8.70,45300,8.56
2013-05-22,8.80,8.95,8.80,8.95,58500,8.81
2013-05-21,8.85,8.95,8.80,8.90,6300,8.76
2013-05-20,9.00,9.00,8.98,8.99,1100,8.85
2013-05-17,8.88,9.00,8.88,9.00,5800,8.86
2013-05-16,8.65,8.88,8.65,8.66,111800,8.53
